"ID","Data_paper","Data_paper_ID","Site","Subsite","Latitude","Longitude","LatLonAdjusted","Country","MAT_C","MAP_mm","Biome","Soil_N","Soil_pH","Soil_CEC","Soil_sand_pct","Soil_silt_pct","Soil_clay_pct","Soil_texture_index","Forest_age","Successional_stage","Forest_age_group","Forest_description","Disturbance_note","Dominant_species","Leaf_type","Sampling_interval","Sampling_duration","Sampling_area_ha","Sampling_frequency","Trap_area_m2","N_Traps","Leaf_flux_Mghayr","Repro_flux_Mghayr","R..R.L.","Primary_Reference","Supplementary_References","Site_soil_total_P","Site_soil_N","Site_soil_pH","Site_soil_CEC","Site_soil_sand","Site_soil_clay","Site_soil_silt","Reference_soils","site_soil_data"
420,"Jia et al., 2016",384,"Yunnan","Tonghai County",24.08,102.69,0,"China",13.9375,1021,"Tropical",1.77,5.7,12.1,23.3,48.96666667,21.83333333,0.065015507,35,"secondary","mid","Pinus forest",NA,"P. yunnanensis","needleleaf","1986-1988",2,NA,"Monthly",0.5,10,2.871,0.285,0.090304183,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
421,"Jia et al., 2016",385,"Yunnan","Tonghai County",24.08,102.69,0,"China",13.9375,1021,"Tropical",1.77,5.7,12.1,23.3,48.96666667,21.83333333,0.065015507,50,"secondary","mid","Pinus forest",NA,"P. yunnanensis","needleleaf","1986-1988",2,NA,"Monthly",0.5,10,3.72,0.22,0.055837563,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
422,"Jia et al., 2016",386,"Yunnan","Ailaoshan Nature Reserve",24.53,101.02,0,"China",13.17916679,990,"Tropical",2.136666667,5.6,17.38333333,20.55,44.63333333,24.11666667,-0.160042223,NA,"old-growth","old","Evergreen broadleaved mixed forest",NA,"Lithocarpus xylocarpus, Machilus viridis & Castanopsis wattii","broadleaf","1991-1992",1,NA,"Monthly",1,13,3.56,0.753,0.174588454,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
423,"Jia et al., 2016",387,"Yunnan","Ailaoshan Nature Reserve",24.53,101.02,0,"China",13.17916679,990,"Tropical",2.136666667,5.6,17.38333333,20.55,44.63333333,24.11666667,-0.160042223,NA,"old-growth","old","Evergreen broadleaved mixed forest",NA,"Lithocarpus xylocarpus, Machilus viridis & Castanopsis wattii","broadleaf","1992-1993",1,NA,"Monthly",1,13,5.77,0.864,0.130238167,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
424,"Jia et al., 2016",388,"Yunnan","Ailaoshan Nature Reserve",24.53,101.02,0,"China",13.17916679,990,"Tropical",2.136666667,5.6,17.38333333,20.55,44.63333333,24.11666667,-0.160042223,NA,"old-growth","old","Evergreen broadleaved mixed forest",NA,"Lithocarpus xylocarpus, Machilus viridis & Castanopsis wattii","broadleaf","1993-1994",1,NA,"Monthly",1,13,4.923,0.835,0.14501563,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
425,"Jia et al., 2016",389,"Yunnan","Samachang Area",25.4,101.47,0,"China",15.5625,790,"Temperate",1.595,5.8,12.71666667,20.93333333,39.96666667,33.5,-0.470202654,NA,"secondary","mid","Evergreen broadleaved mixed forest","Secondary forest, disturbance not specified","Cyclobalanopsis glaucoides,Lithocarpus dealbatus & C. delavayi","broadleaf","NA-NA",1,NA,"Monthly",1,8,2.6792,0.2562,0.087279417,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
426,"Jia et al., 2016",390,"Jilin","Changbaishan Nature Reserve",42.4,128.47,0,"China",3.012500048,655,"Temperate",2.185,6.1,19.06666667,34.78333333,40.6,13.35,0.95762196,NA,"old-growth","old","Pinus & Picea-Abies mixed forest",NA,"P. koraiensis, Picea jezoensis & A. nephlolepis","needleleaf","2003-2004",1,NA,"Bimonthly",1,5,2.1783,1.5019,0.40810282,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
427,"Jia et al., 2016",391,"Jilin","Changbaishan Nature Reserve",42.4,128.47,0,"China",3.012500048,655,"Temperate",2.185,6.1,19.06666667,34.78333333,40.6,13.35,0.95762196,NA,"old-growth","old","Betula forest",NA,"B. ermanii","broadleaf","2003-2004",1,NA,"Bimonthly",1,5,1.5742,0.4657,0.228295505,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
428,"Jia et al., 2016",392,"Jilin","Changbaishan Nature Reserve",42.4,128.47,0,"China",3.012500048,655,"Temperate",2.185,6.1,19.06666667,34.78333333,40.6,13.35,0.95762196,NA,"old-growth","old","Pinus & broadleaved mixed forest",NA,"P. koraiensis,Tilia amurensis & Acer mono","mixed","2003-2004",1,NA,"Bimonthly",1,5,3.531,0.7682,0.178684406,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
429,"Jia et al., 2016",393,"Jilin","Changbaishan Nature Reserve",42.4,128.47,0,"China",3.012500048,655,"Temperate",2.185,6.1,19.06666667,34.78333333,40.6,13.35,0.95762196,NA,"old-growth","old","Betula & Picea-Abies mixed forest",NA,"B. ermanii,P. jezoensis & A. nephlolepis","mixed","2003-2004",1,NA,"Bimonthly",1,5,1.6891,0.6912,0.290383565,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"Jia et al., 2016",395,"Fujian","Wuyi Mountain",27.65,117.8,0,"China",17.04166603,1830,"Temperate",1.291666667,5.1,12.16666667,39.31666667,30.33333333,25.05,0.45077469,NA,"old-growth","old","Pinus forest",NA,"P. massoniana","needleleaf","2006-2007",1,NA,"Monthly",1,10,2.7322,0.0787,0.02799815,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
431,"Jia et al., 2016",396,"Fujian","Wuyi Mountain",27.65,117.8,0,"China",17.04166603,1830,"Temperate",1.291666667,5.1,12.16666667,39.31666667,30.33333333,25.05,0.45077469,21,"secondary","young","Cunninghamia forest",NA,"C. lanceolata","needleleaf","2006-2007",1,NA,"Monthly",1,10,2.536,0.1248,0.046903187,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
432,"Jia et al., 2016",397,"Fujian","Wuyi Mountain",27.65,117.8,0,"China",17.04166603,1830,"Temperate",1.291666667,5.1,12.16666667,39.31666667,30.33333333,25.05,0.45077469,NA,"secondary","mid","Broadleaved forest","Secondary forest, disturbance not specified","Castanopsis fargesii,C. sclerophylla & Schima superba","broadleaf","2006-2007",1,NA,"Monthly",1,10,3.7792,0.1896,0.047772626,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
433,"Jia et al., 2016",406,"Hainan","Jianfengling Mountains",18.63,108.9,0,"China",23.41250038,1339,"Tropical",1.1,5.1,14.96666667,43.06666667,28.51666667,21.3,0.70404223,NA,"old-growth","old","Tropical montane rainforest",NA,"Nephelium topengii,Cryptocarya chinensis & Gironniera subaequalis","broadleaf","1982-1984",2,NA,"Monthly",0.5,10,5.415,0.63,0.104218362,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
434,"Jia et al., 2016",407,"Hainan","Jianfengling Mountains",18.63,108.9,0,"China",23.41250038,1339,"Tropical",1.1,5.1,14.96666667,43.06666667,28.51666667,21.3,0.70404223,NA,"old-growth","old","Semi-deciduous monsoon forest",NA,"Aporosa chinensis,Pteropermum heterophyllum & Polyalthia cerasoides","broadleaf","1982-1984",2,NA,"Monthly",0.5,10,7.445,0.62,0.076875387,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
435,"Jia et al., 2016",418,"Guizhou","Maolan Karst Nature Reserve",25.25,107.98,0,"China",16.58333397,1364,"Temperate",1.416666667,5.4,12.36666667,22.21666667,48.85,22.43333333,-0.00970519,NA,"old-growth","old","Evergreen and deciduous broadleaf forest",NA,"Platycarya longipes,Carpinus pubescens & Celtis tetrandra","broadleaf","2007-2008",1,NA,"Monthly",1,15,4.9,0.1,0.02,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
